"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.2013.6.November",2013-11-06,4967,3775,3931,NA,640,4321,5110,4929,NA,6227,1960,6915,2491,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.7.November",2013-11-07,4601,5376,708,NA,5173,7038,3325,6369,NA,1024,4402,606,6847,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.8.November",2013-11-08,3791,4616,5724,NA,4143,6879,1993,5688,NA,5683,2524,633,5041,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.9.November",2013-11-09,3639,3582,4626,NA,2809,5780,802,4767,NA,4380,1661,6772,3877,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.10.November",2013-11-10,3578,3094,4205,NA,2180,5063,122,4378,NA,3578,1166,6291,3356,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.11.November",2013-11-11,3548,2605,3921,NA,1695,4540,6623,3956,NA,2866,705,5873,2869,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.12.November",2013-11-12,3526,2313,3761,NA,1334,4110,6201,3569,NA,2533,459,5487,2677,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.13.November",2013-11-13,3578,2187,3648,NA,1138,3863,6003,3334,NA,2220,254,5235,2584,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.14.November",2013-11-14,3662,1939,3546,NA,975,3685,5847,3057,NA,1949,6997,5015,2506,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.15.November",2013-11-15,3662,1674,3445,NA,767,3502,5578,2879,NA,1612,6710,4743,2338,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.16.November",2013-11-16,3606,1350,3387,NA,486,3269,5203,2801,NA,1372,6525,4445,2108,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.17.November",2013-11-17,3548,1296,3384,NA,266,3168,4918,3057,NA,1171,7007,4364,2017,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.18.November",2013-11-18,3526,956,3240,NA,19,3114,4650,3667,NA,887,6807,4274,1851,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.19.November",2013-11-19,3526,2862,3199,NA,6911,2887,4455,2865,NA,597,316,4670,1775,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.20.November",2013-11-20,3509,1818,3149,NA,6762,2851,4369,2582,NA,264,6334,4758,1712,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.21.November",2013-11-21,3438,1205,3109,NA,7044,3195,5331,2388,NA,63,5941,5720,1815,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.22.November",2013-11-22,3363,803,2998,NA,6838,2745,4541,2192,NA,6786,5639,3931,1586,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.23.November",2013-11-23,3190,631,2938,NA,6806,2474,5292,2100,NA,6393,5459,3485,1390,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.24.November",2013-11-24,3047,334,2892,NA,6728,2486,4688,1981,NA,5934,5220,3202,1289,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.25.November",2013-11-25,2991,7027,2871,NA,6192,2188,4157,1862,NA,5633,4950,2886,1198,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.26.November",2013-11-26,3210,424,3158,NA,6745,2350,4399,2301,NA,1505,111,2843,1795,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.27.November",2013-11-27,1261,5806,4605,NA,2772,3887,1078,4969,NA,3854,6607,5943,3916,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.28.November",2013-11-28,4836,3808,5115,NA,2789,3303,2216,2708,NA,2799,2912,5082,6202,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.29.November",2013-11-29,2892,3563,2194,NA,3037,5295,1441,2226,NA,1590,428,6443,4162,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.30.November",2013-11-30,711,1369,6289,NA,6392,2202,4061,6378,NA,5753,1000,3132,6919,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.1.November",2014-11-01,3162,6253,4952,NA,2838,6657,6316,3118,NA,4003,4978,1798,1208,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.2.November",2014-11-02,3030,5268,4339,NA,2356,5583,5743,2345,NA,3162,3514,682,577,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.3.November",2014-11-03,2991,6744,4103,NA,2179,6903,5384,5538,NA,3935,1012,2478,307,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.4.November",2014-11-04,2907,5970,3997,NA,2066,6321,5403,3410,NA,3338,4642,1769,246,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.5.November",2014-11-05,3018,5354,3952,NA,2510,5506,5692,2538,NA,4057,3489,698,517,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.6.November",2014-11-06,4388,5338,4884,NA,3532,5471,953,2095,NA,4967,3401,245,3719,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.7.November",2014-11-07,4457,5447,4311,NA,4573,6267,1270,1816,NA,4487,2692,230,2902,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.8.November",2014-11-08,4057,4740,3850,NA,3294,5415,6926,1633,NA,3465,2089,6725,1623,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.9.November",2014-11-09,3872,4247,3657,NA,2695,4715,6288,1417,NA,2736,1640,6258,1032,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.10.November",2014-11-10,3606,3732,3522,NA,2253,4261,5745,1297,NA,2234,1313,5823,511,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.11.November",2014-11-11,3475,3510,3536,NA,1910,3962,5307,1440,NA,2142,2369,5580,254,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.12.November",2014-11-12,5652,6453,4783,NA,3343,5612,6161,2815,NA,6426,6971,928,1737,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.13.November",2014-11-13,583,941,68,NA,5411,808,1424,3705,NA,1308,270,2899,3954,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.14.November",2014-11-14,5954,933,6701,NA,4750,701,1006,2657,NA,6375,5738,3091,4163,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.15.November",2014-11-15,5092,7,5988,NA,3834,642,7071,5548,NA,5758,1096,2985,2698,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.16.November",2014-11-16,4550,6478,5248,NA,3198,130,6411,3590,NA,4850,5191,2307,1928,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.17.November",2014-11-17,4167,5743,4780,NA,2753,5980,5916,2487,NA,4351,3913,1154,1493,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.18.November",2014-11-18,3896,7061,5591,NA,2746,156,5969,5496,NA,4703,1333,2716,1666,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.19.November",2014-11-19,3669,6488,4730,NA,2293,6510,5361,3198,NA,3745,6158,2082,813,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.20.November",2014-11-20,3578,6368,4452,NA,2096,5985,5108,2757,NA,3080,5045,1957,551,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.21.November",2014-11-21,3438,5892,4317,NA,1770,5289,4729,2429,NA,2463,6088,1357,87,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.22.November",2014-11-22,3309,2426,4636,NA,1461,53,4381,6156,NA,2080,3937,5016,7035,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.23.November",2014-11-23,3150,2099,6243,NA,1614,1624,4454,5746,NA,3039,496,5626,590,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.24.November",2014-11-24,2919,480,4674,NA,1414,6640,4273,2967,NA,1978,4964,2690,7077,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.25.November",2014-11-25,2832,6570,4325,NA,1071,5618,3841,2611,NA,1681,4459,1603,6765,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.26.November",2014-11-26,2731,2488,6247,NA,1065,1039,3876,6643,NA,3008,3002,5431,307,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.27.November",2014-11-27,2637,818,4674,NA,902,6994,3796,3464,NA,1741,6784,3143,6898,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.28.November",2014-11-28,2578,1151,4323,NA,786,6456,3286,3442,NA,3946,650,3290,6551,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.29.November",2014-11-29,2440,227,4267,NA,1606,6707,3799,3977,NA,4957,6256,2767,6651,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2014.30.November",2014-11-30,2272,6487,4761,NA,1180,5741,3746,2674,NA,4026,4355,1743,6471,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.1.December",1990-12-01,3276,2972,3,NA,1820,5351,5528,1493,3,NA,3400,1023,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.2.December",1990-12-02,3231,2016,3,NA,1439,4620,5013,353,3,NA,1762,375,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.3.December",1990-12-03,3231,1519,3,NA,1098,3937,4642,6735,3,NA,1071,6741,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.4.December",1990-12-04,3231,1065,3,NA,835,3635,4349,6834,3,NA,1310,6398,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.5.December",1990-12-05,3190,730,3,NA,705,3462,4321,6453,3,NA,315,6158,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.6.December",1990-12-06,3139,319,3,NA,527,3082,4250,5731,3,NA,6357,5794,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.7.December",1990-12-07,3091,6874,3,NA,227,2727,3764,5021,3,NA,5902,5533,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.8.December",1990-12-08,3041,6600,3,NA,112,2734,3610,5767,3,NA,5866,5374,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.9.December",1990-12-09,2938,6379,3,NA,6868,2889,3340,183,3,NA,1689,5299,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.10.December",1990-12-10,2890,6308,3,NA,6757,4017,3080,2000,3,NA,1950,5805,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.11.December",1990-12-11,2747,6071,3,NA,6564,3408,3020,544,3,NA,128,5688,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.12.December",1990-12-12,2651,5933,3,NA,6330,2789,2843,77,3,NA,3869,5203,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.13.December",1990-12-13,2565,1904,3,NA,6204,3919,2767,1205,3,NA,4598,446,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.14.December",1990-12-14,2376,126,3,NA,5691,3585,2497,968,3,NA,3460,6611,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.15.December",1990-12-15,2282,3192,3,NA,5742,4251,2423,2417,3,NA,6026,591,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.16.December",1990-12-16,2258,2699,3,NA,6227,3939,2623,736,3,NA,3835,611,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.17.December",1990-12-17,2054,1415,3,NA,6402,3414,2989,6950,3,NA,2177,6876,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.18.December",1990-12-18,1845,155,3,NA,6069,2619,2420,6153,3,NA,1123,5903,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.19.December",1990-12-19,1798,6860,3,NA,6001,2325,2235,6332,3,NA,58,5535,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.20.December",1990-12-20,1682,5252,3,NA,6520,6381,2781,4463,3,NA,784,3212,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.21.December",1990-12-21,1639,2654,3,NA,6646,4279,3338,697,3,NA,4345,1156,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.22.December",1990-12-22,1459,3287,3,NA,6689,3830,3052,564,3,NA,3834,760,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.23.December",1990-12-23,1364,2115,3,NA,6589,3240,3028,6825,3,NA,2507,104,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.24.December",1990-12-24,1223,1314,3,NA,6435,2819,2856,6181,3,NA,1690,6414,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.25.December",1990-12-25,1240,691,3,NA,6061,2375,2752,5704,3,NA,3322,5892,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.26.December",1990-12-26,1040,1285,3,NA,5129,2883,2656,6814,3,NA,2344,6606,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.27.December",1990-12-27,870,225,3,NA,4196,2228,2324,5395,3,NA,1026,5780,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.28.December",1990-12-28,741,114,3,NA,3994,2022,2137,5756,3,NA,2196,5617,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.29.December",1990-12-29,722,2280,3,NA,4050,2297,2129,6849,3,NA,6203,6803,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.30.December",1990-12-30,702,2774,3,NA,4031,3346,1977,6618,3,NA,3722,887,3,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.31.December",1990-12-31,490,961,2,NA,3656,2269,1892,5539,2,NA,2197,6458,2,NA,NA,3,NA
"    Stage (mm) at Kumeti at Te Rehunga.1991.1.December",1991-12-01,3294,2645,NA,3,2176,5713,6349,589,NA,3,2615,5411,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.2.December",1991-12-02,3410,4122,NA,3,1818,130,5943,5121,NA,3,1007,1855,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.3.December",1991-12-03,3410,5449,NA,3,1930,6005,6157,1347,NA,3,4925,1355,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.4.December",1991-12-04,3643,635,NA,3,3111,6911,91,566,NA,3,5319,2804,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.5.December",1991-12-05,3410,5404,NA,3,2670,6035,6591,6754,NA,3,3026,1120,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.6.December",1991-12-06,3391,4334,NA,3,2074,5308,6025,6258,NA,3,2847,134,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.7.December",1991-12-07,3438,685,NA,3,2216,6454,6327,1613,NA,3,6297,3229,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.8.December",1991-12-08,3399,5630,NA,3,1754,5877,5891,6844,NA,3,2868,2114,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.9.December",1991-12-09,4706,4703,NA,3,2200,5941,6420,6873,NA,3,3167,1457,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.10.December",1991-12-10,3438,4105,NA,3,1869,5318,6474,5923,NA,3,1835,769,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.11.December",1991-12-11,3377,3274,NA,3,1421,4662,5707,4972,NA,3,1221,211,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.12.December",1991-12-12,3377,2759,NA,3,977,4240,5302,4373,NA,3,954,6827,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.13.December",1991-12-13,3410,3250,NA,3,1435,5158,5588,224,NA,3,1885,334,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.14.December",1991-12-14,3331,2278,NA,3,980,4352,5236,5077,NA,3,412,6721,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.15.December",1991-12-15,3399,2004,NA,3,872,4052,4920,4647,NA,3,184,6427,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.16.December",1991-12-16,3342,2097,NA,3,959,3933,5266,4442,NA,3,290,6284,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.17.December",1991-12-17,3286,2288,NA,3,833,3936,5452,4262,NA,3,6898,6310,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.18.December",1991-12-18,3223,1553,NA,3,238,3676,4965,3849,NA,3,6285,5983,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.19.December",1991-12-19,3165,1105,NA,3,6437,3279,4379,3530,NA,3,5765,5645,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.20.December",1991-12-20,3121,858,NA,3,6022,2920,3924,3368,NA,3,5808,5366,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.21.December",1991-12-21,3059,1203,NA,3,5962,2538,3698,2555,NA,3,6345,6247,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.22.December",1991-12-22,2990,4028,NA,3,5723,4563,3634,2492,NA,3,5895,1272,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.23.December",1991-12-23,2990,3234,NA,3,5589,2013,3649,6651,NA,3,2220,6677,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.24.December",1991-12-24,2784,300,NA,3,6182,6559,5226,2354,NA,3,5701,3870,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.25.December",1991-12-25,2784,5838,NA,3,6218,5243,4611,1024,NA,3,4087,2367,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.26.December",1991-12-26,2662,4864,NA,3,6876,4789,6595,458,NA,3,3019,1401,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.27.December",1991-12-27,2526,3894,NA,3,6374,4236,5085,6841,NA,3,2178,417,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.28.December",1991-12-28,2376,3481,NA,3,5686,5757,4306,4908,NA,3,6513,1018,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.29.December",1991-12-29,2290,3120,NA,3,5346,6535,4128,4513,NA,3,3964,1578,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.30.December",1991-12-30,2290,3209,NA,3,6567,6774,4791,6150,NA,3,659,1235,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1991.31.December",1991-12-31,2299,5000,NA,2,1433,1092,6216,5925,NA,2,436,3418,NA,2,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.1.December",1992-12-01,3569,2300,NA,3,1736,4433,6923,5853,NA,3,3560,14,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.2.December",1992-12-02,3569,3431,NA,3,2840,5419,2126,6219,NA,3,3815,193,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.3.December",1992-12-03,3666,2646,NA,3,2472,4959,922,5221,NA,3,2573,6781,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.4.December",1992-12-04,5118,2407,NA,3,3884,5497,3693,6821,NA,3,5566,45,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.5.December",1992-12-05,6532,6056,NA,3,21,2136,6191,2106,NA,3,5534,2764,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.6.December",1992-12-06,6387,4335,NA,3,4794,451,3404,6866,NA,3,2733,991,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.7.December",1992-12-07,5118,3097,NA,3,4029,6375,2378,5671,NA,3,1672,6730,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.8.December",1992-12-08,4552,2249,NA,3,3483,5488,1482,4981,NA,3,902,5834,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.9.December",1992-12-09,4421,1698,NA,3,2812,4881,771,4963,NA,3,296,5108,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.10.December",1992-12-10,4344,1591,NA,3,2366,4833,497,3789,NA,3,2612,1124,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.11.December",1992-12-11,5724,5261,NA,3,2940,2474,1147,704,NA,3,1713,5248,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.12.December",1992-12-12,4854,3714,NA,3,3181,504,1941,3302,NA,3,5512,2587,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.13.December",1992-12-13,4808,3214,NA,3,3416,101,2321,2464,NA,3,4865,1488,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.14.December",1992-12-14,4180,2296,NA,3,2824,6269,1201,779,NA,3,3067,279,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.15.December",1992-12-15,4081,1692,NA,3,2254,5406,362,6775,NA,3,2152,6128,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.16.December",1992-12-16,3984,1221,NA,3,1937,4771,6755,5919,NA,3,1541,5397,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.17.December",1992-12-17,3880,925,NA,3,1718,4308,6405,5273,NA,3,1032,4863,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.18.December",1992-12-18,4320,576,NA,3,2124,4522,824,4948,NA,3,593,4355,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.19.December",1992-12-19,5837,523,NA,3,3551,5546,2693,4435,NA,3,452,4140,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.20.December",1992-12-20,4768,552,NA,3,3550,5666,2398,4125,NA,3,252,4106,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.21.December",1992-12-21,4573,672,NA,3,2946,5116,1579,3970,NA,3,237,4142,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.22.December",1992-12-22,4560,517,NA,3,2393,4458,638,3547,NA,3,6580,3938,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.23.December",1992-12-23,4466,147,NA,3,1996,3997,6955,3394,NA,3,6674,3531,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.24.December",1992-12-24,4514,993,NA,3,2569,4996,293,6224,NA,3,1833,4529,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.25.December",1992-12-25,4402,3174,NA,3,3989,6470,3629,6385,NA,3,1717,6831,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.26.December",1992-12-26,4889,1361,NA,3,2950,5605,1416,4870,NA,3,132,4860,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.27.December",1992-12-27,4338,2847,NA,3,2549,4990,1073,743,NA,3,1424,6365,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.28.December",1992-12-28,5050,5286,NA,3,2816,1115,1864,6412,NA,3,545,3974,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.29.December",1992-12-29,5999,3184,NA,3,5527,1436,4871,4313,NA,3,185,1894,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.30.December",1992-12-30,973,1906,NA,3,5204,3292,4413,481,NA,3,3126,5929,NA,3,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1992.31.December",1992-12-31,6604,253,NA,2,4118,2065,2730,3040,NA,2,5988,4656,NA,2,NA,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.1.December",1993-12-01,2962,3782,3,NA,1633,5468,6516,6631,NA,3,2073,931,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.2.December",1993-12-02,3255,3765,3,NA,1050,4901,5669,6881,NA,3,1163,544,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.3.December",1993-12-03,3951,4999,3,NA,1745,2477,6426,6306,NA,3,4184,246,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.4.December",1993-12-04,3891,2001,3,NA,3124,2381,820,4622,NA,3,6666,5009,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.5.December",1993-12-05,3685,72,3,NA,2053,299,6772,1327,NA,3,4255,2795,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.6.December",1993-12-06,3762,6507,3,NA,1494,6144,6059,335,NA,3,5373,1949,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.7.December",1993-12-07,4266,2182,3,NA,2886,1346,598,4238,NA,3,292,4021,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.8.December",1993-12-08,3824,349,3,NA,2373,692,148,1872,NA,3,4541,2965,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.9.December",1993-12-09,3546,6119,3,NA,1800,6421,6475,601,NA,3,3206,2023,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.10.December",1993-12-10,3359,5152,3,NA,1369,5531,5865,6634,NA,3,2339,1385,NA,NA,3,NA,3
"    Stage (mm) at Kumeti at Te Rehunga.1993.11.December",1993-12-11,3286,4405,3,NA,1037,4915,5426,5967,NA,3,1692,864,NA,NA,3,NA,3
